title,authors,year,citations,abstract,result_id,publication_info,pdf_links,url,total_results,search_time
Codehalu: Investigating code hallucinations in llms via execution-based verification,"Y Tian, W Yan, Q Yang, X Zhao, Q Chen…",2025,27,"… To detect and quantify hallucinations in LLMs during code generation, we develop a dynamic detection algorithm named CodeHalu. This algorithm employs a statistical induction …",qtDYLPmWdmsJ,"Y Tian, W Yan, Q Yang, X Zhao, Q Chen… - … on Artificial Intelligence, 2025 - ojs.aaai.org",[],https://ojs.aaai.org/index.php/AAAI/article/view/34717,unknown,unknown
"A Systematic Literature Review of Code Hallucinations in LLMs: Characterization, Mitigation Methods, Challenges, and Future Directions for Reliable AI","C Gao, G Fan, CY Chong, S Chen, C Liu, D Lo…",2025,1,"… intelligence studies, refine these search terms by checking … for code hallucination studies: (""code generation"" OR ""code … To systematically evaluate hallucination in code generation, we …",gxi68PLPdPAJ,"C Gao, G Fan, CY Chong, S Chen, C Liu, D Lo… - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2511.00776,unknown,unknown
Codemirage: Hallucinations in code generated by large language models,"V Agarwal, Y Pei, S Alamir, X Liu",2024,38,"… field of artificial intelligence in general and natural language … generated output cannot be verified from the source content (ie… and type specific hallucinated code generations, we conduct …",gRTY7_xH31MJ,"V Agarwal, Y Pei, S Alamir, X Liu - arXiv preprint arXiv:2408.08333, 2024 - arxiv.org",[],https://arxiv.org/abs/2408.08333,unknown,unknown
"Hallucination by code generation llms: Taxonomy, benchmarks, mitigation, and challenges","Y Lee, JY Song, D Kim, J Kim, M Kim, J Nam",2025,11,"… At most, the benchmarks provide simple test cases in which the users can verify a subset of dynamic behaviors of the generated code, which are not useful for defining, detecting, and …",OAK8G-0YCtgJ,"Y Lee, JY Song, D Kim, J Kim, M Kim, J Nam - arXiv preprint arXiv …, 2025 - arxiv.org",[],https://arxiv.org/abs/2504.20799,unknown,unknown
"Llm hallucinations in practical code generation: Phenomena, mechanism, and mitigation","Z Zhang, C Wang, Y Wang, E Shi, Y Ma…",2025,133,"… -grained hallucinations in LLM-generated code and attempted … investigate hallucinations in repository-level code generation … similarity check, is then used as a prompt to guide the code …",hUV4ovP5Q4EJ,"Z Zhang, C Wang, Y Wang, E Shi, Y Ma… - Proceedings of the …, 2025 - dl.acm.org",[],https://dl.acm.org/doi/abs/10.1145/3728894,unknown,unknown
Eliminating hallucination-induced errors in llm code generation with functional clustering,"C Ravuri, S Amarasinghe",2025,4,"… To verify that functional clustering delivers practical reliability, we test it on two widely adopted benchmarks that cover complementary slices of the code-generation landscape. …",hgCOzP1cXigJ,"C Ravuri, S Amarasinghe - arXiv preprint arXiv:2506.11021, 2025 - arxiv.org",[],https://arxiv.org/abs/2506.11021,unknown,unknown
"Auto-Generated AI Code Hallucinations: Detection, Impact, and Mitigation Strategies",S Sarkar,2025,0,"… research, we demonstrate that hallucination rates in code generation can exceed 30% in … , including verification frameworks, prompt engineering techniques, and hybrid human-AI …",upqJ0QHK-UQJ,"S Sarkar - Impact, and Mitigation Strategies (October 15, 2025), 2025 - papers.ssrn.com",[],https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5610993,unknown,unknown
Code hallucination,"MM Rahman, A Kundu",2024,14,"… verify Gemini-Advanced on this case as it often stops in the middle of generation and responds with a default answer-""AS an AI … studies in code generation and hallucination. There has …",W6VSlQ7TLdAJ,"MM Rahman, A Kundu - arXiv preprint arXiv:2407.04831, 2024 - arxiv.org",[],https://arxiv.org/abs/2407.04831,unknown,unknown
Rapid End-to-End Test Generation and Hallucination Mitigation using Generative Artificial Intelligence,"C Barathidass, K Namburu",2026,0,"… An empirical validation was conducted, generating over 900 test cases across 15 services … rapid E2E test generation and hallucination mitigation as a novel generative AI-driven …",JPUceD7moXIJ,"C Barathidass, K Namburu - IEEE Access, 2026 - ieeexplore.ieee.org",[],https://ieeexplore.ieee.org/abstract/document/11363193/,unknown,unknown
De-hallucinator: Mitigating llm hallucinations in code generation tasks via iterative grounding,"A Eghbali, M Pradel",2024,18,"… about projectspecific APIs as an obstacle to using AI programming assistants [33]. As a … that is likely caused by a hallucinated API, which we detect by checking if the error message …",J2WWEEuwCkcJ,"A Eghbali, M Pradel - arXiv preprint arXiv:2401.01701, 2024 - arxiv.org",[],https://arxiv.org/abs/2401.01701,unknown,unknown
